id  |               frame_id               | camera_id  |          captured_at          | x1  | y1  | x2  | y2  | confidence 
 688 | 0b4436c8-c301-4c51-9b10-b3cb910ee077 | cam-tcp-01 | 2026-06-15 04:13:06.220672+00 | 574 | 354 | 639 | 479 |     0.7893
 687 | 0b4436c8-c301-4c51-9b10-b3cb910ee077 | cam-tcp-01 | 2026-06-15 04:13:06.220672+00 |  15 |  79 | 608 | 480 |      0.885
 686 | 9cba9cad-459c-42a0-b1a7-5dd3e7e2106e | cam-tcp-01 | 2026-06-15 04:13:06.01896+00  | 575 | 353 | 639 | 479 |     0.8048
 685 | 9cba9cad-459c-42a0-b1a7-5dd3e7e2106e | cam-tcp-01 | 2026-06-15 04:13:06.01896+00  |  14 |  79 | 593 | 480 |     0.8564
 684 | 0c861bd8-079b-4f40-9e81-b20ee15c5e44 | cam-tcp-01 | 2026-06-15 04:13:05.817303+00 | 573 | 353 | 639 | 479 |     0.7904
 683 | 0c861bd8-079b-4f40-9e81-b20ee15c5e44 | cam-tcp-01 | 2026-06-15 04:13:05.817303+00 |  15 |  81 | 603 | 480 |      0.879
 682 | ea376e03-822c-4c43-b93d-0e92dba8cdb6 | cam-tcp-01 | 2026-06-15 04:13:05.61717+00  | 573 | 352 | 639 | 479 |     0.8036
 681 | ea376e03-822c-4c43-b93d-0e92dba8cdb6 | cam-tcp-01 | 2026-06-15 04:13:05.61717+00  |  10 |  76 | 610 | 479 |     0.8719
 680 | f902820c-8a4a-47ec-98bb-95054e678568 | cam-tcp-01 | 2026-06-15 04:13:05.4143+00   | 573 | 352 | 639 | 479 |     0.8093
 679 | f902820c-8a4a-47ec-98bb-95054e678568 | cam-tcp-01 | 2026-06-15 04:13:05.4143+00   |  11 |  69 | 603 | 480 |     0.8553
 677 | 6945d7e0-2ed7-4ef8-a0e8-1b7368ded927 | cam-tcp-01 | 2026-06-15 04:13:05.212554+00 |  10 |  72 | 616 | 479 |     0.8724
 678 | 6945d7e0-2ed7-4ef8-a0e8-1b7368ded927 | cam-tcp-01 | 2026-06-15 04:13:05.212554+00 | 573 | 353 | 639 | 479 |     0.8115
 676 | bec34a0a-1e42-4189-bdd3-c84ff22dcd18 | cam-tcp-01 | 2026-06-15 04:13:05.010936+00 | 575 | 353 | 639 | 479 |     0.7923
 675 | bec34a0a-1e42-4189-bdd3-c84ff22dcd18 | cam-tcp-01 | 2026-06-15 04:13:05.010936+00 |   7 |  64 | 614 | 480 |     0.8749
 674 | f1ff9049-6bdc-4761-b85d-9a8bb79906ae | cam-tcp-01 | 2026-06-15 04:13:04.824536+00 | 581 | 354 | 639 | 479 |      0.801
 673 | f1ff9049-6bdc-4761-b85d-9a8bb79906ae | cam-tcp-01 | 2026-06-15 04:13:04.824536+00 |   6 |  60 | 629 | 480 |     0.8928
 671 | 57a1ca5c-19d6-4ecf-b8cb-8d8c37fd337a | cam-tcp-01 | 2026-06-15 04:13:04.619089+00 |   4 |  59 | 631 | 480 |      0.836
 672 | 57a1ca5c-19d6-4ecf-b8cb-8d8c37fd337a | cam-tcp-01 | 2026-06-15 04:13:04.619089+00 | 585 | 353 | 639 | 479 |     0.7192
 670 | 0b7d577a-4cb4-4311-9c97-e684032ca1e0 | cam-tcp-01 | 2026-06-15 04:13:04.417563+00 | 587 | 353 | 639 | 479 |      0.697
 669 | 0b7d577a-4cb4-4311-9c97-e684032ca1e0 | cam-tcp-01 | 2026-06-15 04:13:04.417563+00 |   6 |  66 | 630 | 479 |     0.8488
 668 | ef0701a8-7ed7-4243-b2e8-01019af94d22 | cam-tcp-01 | 2026-06-15 04:13:04.217379+00 | 582 | 353 | 639 | 480 |     0.7941
 667 | ef0701a8-7ed7-4243-b2e8-01019af94d22 | cam-tcp-01 | 2026-06-15 04:13:04.217379+00 |   6 |  85 | 629 | 479 |     0.8496
 666 | c7089a46-b162-4399-8d2b-6e736127cf84 | cam-tcp-01 | 2026-06-15 04:13:04.015628+00 | 581 | 353 | 639 | 480 |     0.8101
 665 | c7089a46-b162-4399-8d2b-6e736127cf84 | cam-tcp-01 | 2026-06-15 04:13:04.015628+00 |   5 |  86 | 631 | 479 |     0.8776
 664 | 7ef63131-fc5d-4a02-b3e7-a562c7514b97 | cam-tcp-01 | 2026-06-15 04:13:03.811641+00 | 581 | 353 | 639 | 480 |     0.8105
 663 | 7ef63131-fc5d-4a02-b3e7-a562c7514b97 | cam-tcp-01 | 2026-06-15 04:13:03.811641+00 |   3 |  85 | 629 | 479 |     0.8881
 662 | 25d4ca4d-72dc-45a0-87f9-b3a483e21b7a | cam-tcp-01 | 2026-06-15 04:13:03.610082+00 | 579 | 353 | 639 | 479 |     0.8242
 661 | 25d4ca4d-72dc-45a0-87f9-b3a483e21b7a | cam-tcp-01 | 2026-06-15 04:13:03.610082+00 |   2 |  82 | 623 | 480 |     0.8829
 660 | 993c9c28-4f3a-4f32-b62e-e82ee174aa8d | cam-tcp-01 | 2026-06-15 04:13:03.417673+00 | 580 | 353 | 639 | 479 |     0.8426
 659 | 993c9c28-4f3a-4f32-b62e-e82ee174aa8d | cam-tcp-01 | 2026-06-15 04:13:03.417673+00 |   8 |  84 | 627 | 480 |     0.8661
 658 | 9889098d-b6e3-4174-9505-6f9cf3bd71fe | cam-tcp-01 | 2026-06-15 04:13:03.203718+00 | 579 | 353 | 639 | 479 |     0.8398
